ahu	ahuria
puta	putaina
pū	pūia
pā	pāngia
pō	pōngia
pūawhe	pūawhea
pāera	pāeratia
pēhi	pēhia
pōhiri	pōhiritia
pāhua	pāhuatia
pōhēhē	pōhēhētia
pāike	pāikea
pōkai	pōkaia
pūkai	pūkaitia
pākarukaru	pākarukarua
pīkau	pīkautia
pākawe	pākawetia
pēke	pēketia
pēnei	pēneitia
pīnohi	pīnohitia
pānui	pānuitia
pīoi	pīoitia
pōpopo	pōpopotia
pūranga	pūrangatia
pīrangi	pīrangitia
pōrangi	pōrangitia
pūremu	pūremutia
pērā	pērātia
pōtae	pōtaea
pātai	pātaingia
pōti	pōtitia
pāuna	pāunatia
pōuto	pōutokia
pāwhara	pāwharatia
pēwhea	pēwheatia
pōwhiri	pōwhiritia
pūāwai	pūāwaitia
rahoraho	rahorahoa
rahu	rahua
raka	rakatia
rama	ramaa
ranga	rangaa
rangahau	rangahaua
rangirangi	rangirangia
ranu	ranua
rapa	rapaia
rapi	rapitia
rapu	rapua
rara	raraa
raranga	rangaa
rarapi	rarapihia
rarawhi	rarawhia
rau	raua
raupatu	raupatutia
rautao	rautaongia
rauwiri	rauwiritia
raweke	raweketia
rehe	rehea
rehu	rehua
rere	rerengia
rewherī	rewherītia
ringi	ringihia
ripi	ripia
riri	riria
riringi	riringihia
rohe	rohea
romi	romia
rongo	rongohia
rongonui	rongonuitia
ropi	ropia
rore	rorea
rori	roria
rotu	rotua
ruaki	ruakina
rui	ruia
ruke	rukehia
ruku	rukuhia
rumaki	rumakina
runa	runaa
rure	rurea
rurerure	rurerurea
ruruku	rurukutia
rutu	rutua
rīhi	rīhitia
rēhita	rēhitatia
rāhui	rāhuitia
rākei	rākeitia
rīngi	rīngihia
rīpeka	rīpekatia
rāpoi	rāpoia
rārangi	rārangitia
rūri	rūritia
rūrū	rūrūhia
rāwhera	rāwheratia
tae	taea
tae	tāea
tahi	tahia
tahitahi	tahitahia
tahu	tahuna
taiapo	taiapotia
taiapu	taiaputia
taiari	taiaritia
taitai	taitaia
taka	takaina
takahi	takahia
takai	takaia
takakino	takakinotia
takapapa	takapapaa
takapau	takapauria
takawiri	takawiritia
take	takea
taki	takina
takitaki	takitakina
takoto	takotoria
tamumu	tamumutia
tangi	tangihia
tango	tangohia
tanu	tanumia
tao	taona
tapa	tapaia
tapahi	tapahia
tapatapa	tapatapaia
tapatapahi	tapatapahia
tapi	tapia
tapiki	tapikitia
tapuhi	tapuhitia
tarai	taraia
taraiwa	taraiwatia
tare	tarea
tari	taria
tatari	tāria
tatau	tatauria
tatau	tauria
tatā	tatāia
tau	tauria
taua	tauatia
tauapo	tauapohia
tauhere	tauherea
taumau	taumautia
taunaha	taunahatia
taunga	taungatia
taupare	tauparea
taupoki	taupokina
tautau	tautauria
tautohe	tautohetia
tautohetohe	tautohetohetia
tautoko	tautokona
tauwehe	tauwehea
tauārai	tauāraitia
tia	tiaina
tiaki	tiakina
tiki	tīkina
timere	timerea
tinei	tineia
tinihanga	tinihangatia
tipu	tipua
tiriwa	tiriwatia
tiriwā	tiriwātia
tiro	tirohia
titi	titia
titiro	tirohia
tiu	tiua
tohatoha	tohatohaina
tohe	tohea
tohe	tōhea
tohi	tohia
tohu	tohua
tokotoko	tokotokona
tomo	tomokia
tono	tonoa
tope	topea
toro	torona
totohe	totohea
totohe	tōhea
totoro	torohia
totoro	tōrona
tou	toua
toutou	toutoua
tua	tuaina
tuaki	tuakina
tuhi	tuhia
tuhituhi	tuhituhia
tui	tuia
tuitui	tuituia
tuketuke	tuketukea
tuki	tukia
tuku	tukua
tukutuku	tukutukua
tungi	tungia
tunu	tunua
tunutunu	tunutunua
tupehau	tupehaukia
tupeke	tupeketia
tupoki	tupokina
tupu	tupuria
tupua	tupuatia
turaki	turakina
turuki	turukitia
tute	tutea
tutu	tutua
tuwha	tuwhaia
tuwhera	tuwheratia
tō	tōkia
tā	tāngia
tū	tūria
tūahu	tūahutia
tīhae	tīhaea
tāhae	tāhaetia
tāhawahawa	tāhawahawatia
tōhi	tōhitia
tūhono	tūhonoa
tīhore	tīhorea
tōkari	tōkaritia
tākaro	tākarohia
tīkaro	tīkarotia
tāke	tāketia
tūkino	tūkinotia
tākiri	tākiritia
tīkoko	tīkokoa
tūmanako	tūmanakohia
tāmaru	tāmarutia
tīmata	tīmatangia
tāmau	tāmautia
tāmi	tāmia
tāmuimui	tāmuimuia
tānapu	tānaputia
tānumi	tānumitia
tāoro	tāoroa
tāpae	tāpaea
tāpapa	tāpapatia
tāpatu	tāpatutia
tūpeke	tūpeketia
tāpi	tāpia
tāpiri	tāpiritia
tāpui	tāpuia
tāpuke	tāpuketia
tāpuni	tāpunia
tāpāpā	tāpāpātia
tārai	tāraia
tārona	tāronatia
tātai	tātaia
tūtaki	tūtakina
tītama	tītamatia
tītari	tītaria
tātari	tātaritia
tītokotoko	tītokotokona
tītore	tītorea
tātua	tātuatia
tūtui	tūtuia
tūtuki	tūtukia
tātā	tātāngia
tātāmi	tātāmia
tātāwhi	tātāwhia
tāuwhi	tāuwhia
tāwai	tāwaia
tīwara	tīwarahia
tāwharau	tāwharautia
tāwhi	tāwhia
tāwhio	tāwhiotia
tāwhiri	tāwhiritia
tūwhiti	tūwhititia
tāwhiu	tāwhiua
tūā	tūāina
ua	uaina
uara	uaratia
ui	uia
uiui	uiuia
uku	ukuia
ukui	ukuia
umere	umeretia
unga	ungaa
unu	unumia
uru	urua
urungi	urungitia
uruumu	uruumutia
uta	utaina
utu	utua
uwhi	uwhia
uwhiuwhi	uwhiuwhia
waea	waeatia
waere	waerea
waha	wahaa
wai	waia
waiata	waiatatia
waiho	waihotia
waikeri	waikeringia
waimeha	waimehatia
waipuke	waipuketia
wani	wania
ware	warea
wareware	warewaretia
waru	waruhia
wawae	wawaea
wawao	waona
wawata	wawatatia
wehewehe	wehewehea
weku	wekua
wepu	wepua
wero	werohia
wete	wetekia
wetewete	wetewetekia
wewete	wewetekia
whai	whāia
whaiaurunga	whaiaurungatia
whaiere	whaieretia
whaikōrero	whaikōrerotia
whaina	whainatia
whaiwhai	whaiwhaia
whakaae	whakaaetia
whakaahu	whakaahutia
whakaahua	whakaahuatia
whakaahuru	whakaahurutia
whakaako	whakaakona
whakaara	whakaarahia
whakaari	whakaaria
whakaaro	whakaarotia
